random_var_0,random_var_1,random_var_2,random_var_3,random_var_4,random_var_5,random_var_6,random_var_7,random_var_8,random_var_9,random_var_10,random_var_11,random_var_12,random_var_13,random_var_14,random_var_15,random_var_16,random_var_17,random_var_18,random_var_19,cat_3,cat_5,cat_20,cat_200,num_2%,num_20%,num_90%,num_99%,weight_variable,sample variable,target,amount
0.9574056,0.70432687,-0.7256857,2.1371014,2.3809285,-1.8382142,-1.5669583,-0.34805346,-0.01624124,0.5345958,-1.097986,-0.31614003,1.0132431,0.21309765,1.5334058,0.741362,-0.24118508,1.5171697,1.5604472,-2.1204329,1,nan,20.0,11,10.419194,27.722681,,,0.6299617,training,0,0.0
0.14938925,-0.028657582,1.8877401,1.5413675,0.8580238,-2.5884535,0.17593868,5.8046265,1.3220849,-0.274465,-0.20827217,1.0913031,1.2567111,5.2248836,-0.6345095,-0.9655289,0.24672928,-2.624391,1.2625427,0.69163775,3,nan,9.0,38,10.68522,,,,0.75314647,validation,1,12441.412054600922
1.1968311,-1.5394456,-0.67460877,3.137627,-0.3687356,1.8080628,0.35654446,1.1912096,4.3151364,0.76062757,-0.30262354,0.60453796,2.0058496,5.917433,-1.8386288,0.5648,1.2989054,-0.17002684,0.6355374,0.05932837,2,nan,1.0,157,10.2044525,18.359495,,,0.7352149,validation,0,0.0
-0.90581745,2.6982486,1.0884178,-1.2254987,-0.041832294,2.2829006,-0.92827666,1.2258978,2.2497509,-0.44510293,2.872079,-2.0495105,-0.85768867,3.322332,-0.7702838,-0.31388772,3.8927186,5.560001,0.5458242,3.6282375,3,nan,1.0,56,10.878118,73.21125,575.47455,,0.2227195,validation,0,0.0
0.18941009,-2.106875,-0.46785817,7.3948627,0.517743,-0.04380557,1.8843311,4.9112015,1.5805862,1.1356487,-2.7299426,-0.8194477,-0.105492994,4.987735,1.3155752,2.2084353,-3.2272668,-2.553773,-0.26069024,-0.9953285,1,nan,11.0,100,10.027388,75.02953,,,0.35024592,training,0,0.0
0.31563956,-1.262435,0.52510065,-0.53508043,-0.28626272,-1.66889,1.1160829,1.5034401,-1.9917924,0.7620352,-1.041603,-1.6994112,-0.87258977,0.85985106,1.2049521,1.118851,-1.831305,-3.0280564,-0.55989486,-0.98880106,3,nan,16.0,6,10.670467,45.50716,,,0.5190139,training,0,0.0
1.5900843,0.25005597,-1.4802232,-0.7034368,-0.163727,-1.8476093,1.6647583,3.795707,-1.4465156,-0.26026517,1.1387969,-2.960072,-0.46800807,-0.15405314,-0.11819016,0.09648568,-2.936506,2.5826037,-0.9643258,3.180387,2,nan,19.0,200,10.417305,75.40282,,,0.3927074,validation,0,0.0
-0.43488517,-2.611902,1.7311882,-3.2612174,-0.15456825,2.9868376,0.09689716,2.748577,-4.236991,-3.5371075,-0.694989,1.4290806,0.59810525,0.5616992,0.7505374,1.0988773,0.6633294,-2.012594,-0.1693461,1.1242,3,nan,2.0,72,10.55869,15.5010805,,,0.5219887,training,0,0.0
1.7221794,-1.6074239,0.33225027,-2.6510353,-0.73801583,1.4233935,-3.4995906,-7.366841,2.1901968,-1.1790568,1.0026042,-1.3633767,1.0568799,0.8507656,0.9328842,-2.7216008,2.8969226,-2.5731559,-1.3891586,-1.2375764,1,nan,19.0,57,10.140387,,577.91437,,0.80306596,training,1,11469.29535249102
1.0988936,-1.5677457,1.1802238,-4.9749393,0.50530064,0.56665623,-3.8302758,-7.8042455,6.126471,-3.2279959,0.32559046,-3.057482,0.49915364,1.6221699,0.40603465,-3.5022087,9.253568,-2.9426243,1.0849763,1.4432017,1,nan,4.0,153,10.198101,,,,0.116347484,training,1,8712.811259747525
-0.94086504,2.2250655,0.4592783,-1.0778214,-0.18692756,5.779632,2.6956804,-5.8411355,4.4622393,-0.51336026,1.5024248,-2.6557243,-0.665056,-2.8703208,-0.31174222,0.20300911,5.845992,0.5080112,0.5728156,2.260612,3,nan,4.0,120,10.800745,44.47639,,,0.21262935,training,0,0.0
0.2726819,0.9836191,-1.0298464,-1.6306657,-1.0177686,1.5476652,1.1706852,3.4515886,1.5008388,1.235204,1.8332443,-2.8115566,0.80027694,2.0662525,1.8497533,-1.428613,0.06456342,3.6453462,-0.7345136,5.938481,1,nan,11.0,148,10.968262,83.18974,,,0.11550053,training,0,0.0
0.6721532,-1.5669054,0.12875776,-0.7554828,-0.9760694,-0.10315824,-2.5840998,-6.849126,-1.2134205,3.4867826,-0.4067746,1.8844763,-0.8476655,-3.644664,0.43436867,0.54183245,-1.839079,-0.4526032,-0.27582055,-3.3469617,2,nan,12.0,17,10.313424,90.05118,,,0.1341865,training,0,0.0
0.22333844,-0.69335675,2.414652,-0.2019373,0.46371558,-6.340018,1.7613727,6.3504906,-3.6345723,-0.4012716,0.94481003,-1.4881375,1.3785691,0.25326192,-0.8540721,-1.1478872,-7.780482,0.7456213,0.62616956,1.0601474,3,nan,4.0,26,10.692323,31.827774,,,0.20120727,training,0,0.0
-0.4197484,-2.5912542,-1.9172747,-1.5306307,-1.0907619,2.4641137,2.6873257,-3.398046,1.8697417,1.2110808,0.5711323,1.4887906,0.8421313,0.5468671,-0.88640296,3.436898,1.4158564,0.21823159,-0.40203324,-1.3807142,3,nan,17.0,175,10.8763895,17.908201,,,0.67807025,validation,0,0.0
1.4213221,-0.87552804,1.1844972,-0.04735479,0.61749655,-1.5632424,2.9411047,1.0921305,2.470928,0.47748902,-0.12800728,-2.9773233,0.72724384,0.36211517,-3.5109026,0.12699898,-1.3017178,1.9556,-0.052541323,2.0790725,1,nan,11.0,166,10.894607,45.874134,,,0.40220252,training,0,0.0
0.85834736,-0.15160227,0.18870062,-1.33558,-0.73190594,2.6884565,0.915185,-6.20938,2.5869117,-3.4723256,-0.13433571,2.2437623,0.6979123,-1.3312576,-1.2391094,6.6018386,8.807028,4.257829,0.22877824,-4.3200564,2,nan,1.0,127,10.085044,67.898094,,,0.13403904,validation,0,0.0
0.23196079,-0.7734814,0.37881923,1.8455187,1.5512251,0.64659876,1.3857942,1.0060338,-1.1732368,2.9955883,-1.8580052,3.198471,-0.31278333,0.6276028,0.1913306,-2.1472461,-5.7576795,-2.3172278,0.3799203,-3.255963,2,nan,6.0,106,10.039055,41.442116,420.32205,,0.25294015,training,1,8911.716669471558
-0.06285029,-0.99087656,-1.059422,-0.59157276,0.8922116,0.07486878,1.5696756,-1.7704582,2.343994,-0.16406357,0.11028712,-2.4279208,-0.5151922,0.075455785,-0.6744558,0.1624646,0.61488676,0.29460922,-1.7877785,0.8527697,3,nan,nan,4,10.16983,5.6519356,,,0.43921593,training,0,0.0
-1.3119961,-3.1925268,-0.26487088,-1.1010252,0.6640819,2.9873376,0.40620777,-4.670915,0.7100102,-0.90244365,-0.4454547,0.12320324,0.37239027,-2.877819,1.5746318,0.39308113,0.16470835,-1.170811,-0.20788234,0.6154518,1,nan,19.0,82,10.878142,85.4027,,,0.7576596,validation,1,9640.039113060693
-0.83305794,-3.5908332,0.7332765,-3.4542406,-0.9817019,-2.9983249,-3.798058,-2.3755887,-5.0779495,3.1238277,-1.2926689,-4.3920074,0.6775186,-1.4855484,1.0219638,1.266035,-4.3166337,1.0657656,0.15229796,-0.022058183,3,nan,8.0,25,10.098347,88.56219,580.75134,,0.59489536,training,0,0.0
0.47762966,-1.0448343,-0.78160983,-2.2639115,1.3517063,4.248622,-0.21586844,-3.3577232,-3.637034,-1.8498724,3.7996502,0.7117121,1.3638535,1.0265626,-1.9478018,4.1569214,0.57059574,0.86327434,-0.39204404,-2.310866,2,nan,16.0,92,10.421107,88.82378,,,0.054225754,training,0,0.0
0.03886152,-0.39605734,-0.9489285,0.112533584,-0.11304559,0.99045855,-2.0910492,-3.3148112,-2.259677,-0.6846447,0.8280896,2.7408154,0.569941,-0.49305776,0.60773546,0.2550776,-1.5448656,0.5185513,-0.20858712,-4.116533,2,nan,2.0,88,10.95789,47.71966,,,0.8461932,training,0,0.0
1.8206173,-1.2404573,0.041243184,-1.7078929,-1.9963856,4.70663,-1.5939779,2.0463064,-6.0330434,-3.2342293,2.1156006,0.29378766,-0.32015327,1.7140281,0.09460661,3.6608732,-0.8402527,4.6371694,-0.3970162,0.6446462,2,nan,12.0,188,10.533165,77.996704,,,0.558572,validation,0,0.0
-0.53957015,-0.83639294,0.83325624,3.5794625,0.6399999,4.0112624,-0.46151194,-6.8736167,1.9833028,-0.6901279,4.1786523,0.81836736,-1.9469706,-2.3452537,-0.8511642,1.1105579,-0.5068462,-1.9180968,-1.0032294,0.024898268,2,nan,17.0,100,10.691877,39.921932,,,0.7036364,training,1,10157.5758873881
0.9231662,-0.34939545,1.0225742,-0.45880553,0.85744643,-0.11510021,0.67347723,-0.39197057,-1.8099184,0.9816821,1.3723922,-1.1827922,-0.89286757,0.28155696,0.028766016,0.44128874,-1.7990183,-3.768997,1.1115301,-0.42383274,3,nan,14.0,148,10.3155155,26.625532,,,0.8084288,training,0,0.0
-0.24750493,0.7115464,0.69714427,1.8207785,0.316092,0.25975385,3.1442513,4.279037,-2.9426486,-0.17071669,1.7485459,-6.234968,-1.2194828,-2.251031,-1.5784878,-2.7635243,-9.174004,2.2931347,1.1352477,5.225828,2,nan,5.0,76,10.686501,,,,0.58651704,training,0,0.0
0.6942748,-0.58376783,-2.273096,1.4360012,0.43970186,-3.3318038,-0.83730346,7.5586486,0.45071372,0.2544239,-1.0258329,-3.889959,-2.085419,6.813311,-0.3296626,2.8624957,0.76672375,4.570604,1.3538065,2.648974,2,nan,3.0,164,10.834625,64.71892,,,0.43087527,training,0,0.0
-0.46009898,0.2081836,-0.8454712,1.1356759,-1.5476438,1.0227945,1.0064205,1.3862064,-1.0462729,-0.23855218,-0.9429544,2.1071076,0.8386259,-1.5517638,1.418482,-0.4979698,-0.5964024,-3.5141628,1.3297988,-0.06647581,1,nan,nan,44,10.018289,4.0255404,519.5608,,0.74323493,training,1,9541.8175070616
1.2147617,1.1593721,1.2054802,-0.75130856,1.5669745,-3.0231512,3.6437597,0.024899669,-3.2406347,-2.7935257,3.3731835,-1.907367,-1.4641844,-2.618611,0.3651358,3.426207,-3.2667847,2.760966,1.381627,-2.2013655,1,nan,18.0,92,10.750144,38.44139,,,0.5602763,validation,0,0.0
-0.17966373,-4.3037877,-0.5883438,4.0097156,-0.87972486,-2.1150818,-2.5547023,0.15864553,-1.2282901,2.3248572,-1.7712593,-3.5672343,-0.37623683,1.6502298,1.4331759,2.875733,-4.1066446,-1.3501676,1.5901566,0.31532282,2,nan,6.0,198,10.988861,68.29277,,,0.020921221,training,0,0.0
-0.3794622,1.8725857,-0.19793254,2.691941,-0.059331212,1.4842025,-3.053084,-0.8328317,0.41911095,1.0361615,-1.4580808,0.73979133,-0.6609339,-0.1035932,0.23806612,-0.051956758,2.281175,0.8920871,-0.35900873,-0.7827043,1,nan,7.0,154,10.748166,69.36363,,,0.2179013,validation,0,0.0
-0.96709895,1.1518474,-0.8236271,0.4575412,0.5460031,-0.32842353,-2.5161247,-3.8796632,1.0624806,1.876437,-1.782711,0.4378689,-0.6182481,-1.9165316,1.0176319,-1.1193687,1.9235833,-0.6319368,0.8704923,-2.0745375,1,nan,15.0,103,10.280444,87.00865,,,0.33378747,training,0,0.0
0.57367116,0.32124683,-1.5015125,-1.5602791,0.54348236,2.6974058,0.23476182,-1.9045289,1.472987,0.310857,0.7918612,-2.891756,-0.4164908,-0.97052604,1.8359956,0.31807056,3.4185946,-0.5779883,0.22862802,3.528606,2,nan,12.0,57,10.789279,78.15464,,,0.037756946,validation,0,0.0
-0.18430366,-0.6212427,0.98252565,-3.366585,0.4368801,0.38900936,-2.6644807,4.6119204,0.5174901,1.2748742,-2.2819953,-2.2287781,0.98548955,6.536352,-0.42295733,-1.3736867,4.234996,-0.33881623,-1.4346361,3.1024072,3,nan,8.0,13,10.103226,17.64513,,,0.7707066,validation,0,0.0
-1.035616,-0.18572558,-0.7881436,1.158141,0.64325756,-1.9224225,0.09455731,3.6200662,-0.03845328,2.3714375,-1.9303267,-2.8419604,-1.0762712,2.3748612,0.6511976,1.1767164,0.0023924431,-1.3798727,-1.048877,1.3307593,2,nan,8.0,79,10.447893,24.0524,,,0.34045365,training,0,0.0
-0.036326963,3.457944,-0.7099109,0.79789245,0.68382794,1.6928495,-1.4238192,-0.62963694,-3.5401266,3.1083076,1.3465296,3.858963,2.2013483,0.38566822,0.2788791,-3.5944474,-4.1814585,-3.022108,0.64498544,-4.477417,1,nan,17.0,8,10.908595,94.32232,,,0.9560116,validation,1,9550.81321189228
-1.3956212,-0.39829665,-0.11076271,-1.2091726,-0.42418838,-0.19293655,-0.43134686,5.349724,-0.23395318,-1.6670799,-1.1149315,-1.144948,0.23116456,2.1294916,-0.26843515,-3.5999508,-0.73342353,0.19336803,-0.1324428,4.0976768,3,nan,2.0,109,10.293614,66.53632,,,0.4304763,training,0,0.0
1.6047639,-2.5218565,-0.5065508,-1.3813013,1.5597278,-0.6892471,0.6231074,0.9183072,-2.6708353,-1.8978894,1.2684036,-0.7434639,0.6767594,2.1038296,-1.2731127,3.4510987,-1.3276254,0.72652614,0.5168585,-1.2143244,3,nan,5.0,32,10.287775,26.458729,,,0.6218251,training,0,0.0
1.2729095,-5.010041,0.607364,0.67392135,0.029334335,1.0916375,0.5688878,4.0043244,-3.160397,-2.471859,-1.0297288,0.21737999,-0.9094524,4.5603046,-0.5061712,1.2771429,-5.7452435,1.7190208,-0.5335433,-1.0100753,2,nan,18.0,58,10.130029,17.012447,,,0.25758505,training,0,0.0
-0.07918984,0.6333175,-0.84944594,-3.5267222,-1.598729,0.9760082,1.4387153,2.8232372,-2.001713,-1.9788845,1.9125044,-1.383254,-1.4774921,0.13619018,-0.33195978,0.9573784,2.1818268,-0.7735597,1.5937055,3.3541307,2,nan,14.0,179,10.019367,14.803439,,,0.6017971,training,0,0.0
-0.79344,0.07590269,-0.14545517,0.19174358,1.2050468,-2.108732,0.90713584,1.0959206,-0.79398125,0.60967344,0.8949969,0.06492089,0.34701905,1.1856023,-0.10374584,1.9936658,-1.1176975,0.66385067,-0.2160343,-1.5207711,2,nan,6.0,62,10.678836,,946.7306,,0.9520255,training,0,0.0
0.033583842,-1.4067752,0.45317072,-1.7543075,0.08521448,-0.36778578,3.363766,-1.4414552,2.492101,-0.60097295,0.39180344,1.026807,-0.12483406,1.036523,1.3145815,5.5662804,4.9948835,0.27299616,-0.527435,-1.6771502,1,nan,10.0,187,10.211628,77.61599,,,0.77944225,validation,0,0.0
-0.27573466,0.47668052,0.3320828,-0.70990986,-0.27085918,2.3247454,1.1496983,-3.2237236,4.278941,-0.17616932,-0.42999882,6.1017013,0.1503788,2.7440255,1.4358522,-1.5094271,2.7793722,1.6970208,-0.7476615,-5.285251,1,nan,5.0,192,10.265547,28.806782,,,0.70135325,training,0,0.0
0.13958117,1.2982767,0.51876503,-2.2111418,0.68181926,0.98006105,-0.70146376,-1.478989,-1.4407831,-1.3016882,-1.5529397,2.9226763,0.3743395,-0.71575797,2.020835,-1.2473346,2.5084825,-2.1171162,1.4385409,-3.8280768,2,nan,15.0,52,10.491573,,,,0.52870965,training,0,0.0
1.2752491,-3.3917747,-0.77615017,3.22447,0.5097875,1.0346203,-3.4476883,-1.7126191,2.614027,4.7394447,-4.6819305,0.3170532,0.4969171,2.717906,-1.2845045,-0.38316718,-0.512113,-0.9204935,2.0483284,-0.8998985,1,nan,6.0,49,10.053363,,,,0.5740995,training,0,0.0
0.36167976,0.5053409,-0.5242147,-1.8749074,-0.5106296,3.1530704,2.135243,-1.7495614,-0.4918674,-3.773377,0.44127595,-1.1925992,0.75444275,-2.3918593,-1.462353,1.0445522,3.939551,-3.1039145,0.5700088,0.6012522,3,nan,20.0,98,,,,,0.62951773,training,0,0.0
1.495012,-3.876058,-0.03884539,1.7415327,-0.13610707,3.179922,-0.1354676,-0.35157105,-1.1880101,-1.0617406,-2.2074814,-1.2373624,-2.0901208,0.4062483,0.5531828,-2.2019007,-5.449607,-0.77715313,1.2997338,0.22047792,1,nan,4.0,70,10.1467285,93.94966,,,0.49636793,training,0,0.0
1.0888878,-1.2919524,-0.46455467,-3.007218,0.40328127,3.349753,-0.36095506,3.1972547,-4.391266,-0.4616016,3.2503688,-1.0395956,-0.41313067,3.2273061,0.08460513,1.9104017,-0.6964591,-0.87055254,-2.481058,3.3110342,1,nan,13.0,129,10.589306,60.560913,,,0.96101993,training,0,0.0
1.2756727,-2.3351908,1.3005204,3.8016617,-0.27315944,2.6901548,1.1726305,-2.7418275,-1.5496355,0.050737947,1.805822,1.6439801,2.3058095,0.53506535,-0.39000404,0.6445089,-5.367009,-5.73807,-1.4253883,-3.4400992,2,nan,4.0,14,10.699759,10.228737,,,0.5614289,training,0,0.0
-0.18575162,0.59227836,-0.34919232,-1.7573212,0.85400826,1.822598,1.2100004,-4.8465743,-1.5115879,-2.5820591,2.748942,-0.20068333,0.9046018,-2.3623567,0.23813668,4.9318376,3.6129355,0.17079464,0.33515853,-2.7378263,2,nan,6.0,120,10.102334,98.93841,,,0.375374,training,0,0.0
-0.23033373,-0.0009589467,-1.099418,-1.309512,0.0009781494,1.3795289,0.20945804,3.409972,-1.1996202,-2.7515016,1.0440235,-0.6023174,0.8843181,2.948985,-1.1480831,2.2992518,2.4310632,2.6721911,0.31018782,1.552918,3,nan,15.0,113,10.414056,98.68156,,,0.47889704,training,0,0.0
-1.9568498,-2.3250234,-0.33670524,0.56420237,0.59355265,-1.0486174,-0.71998715,-4.008755,1.717853,2.9503722,-4.0659213,1.5830852,0.7523995,-1.0229493,-0.22194047,0.14994389,-0.4511602,-0.66081977,-1.1658736,-4.056828,1,nan,14.0,115,10.6944,,,,0.5612461,training,0,0.0
-0.103245996,0.06241288,0.21010122,-2.2449172,0.25392538,1.4312185,1.6358225,-1.2519747,-1.4450113,-0.20685302,2.7250066,-1.3920542,0.45239314,-1.2562559,0.6932544,1.7439489,-0.032246184,0.029645901,-0.1734135,1.299248,1,nan,14.0,70,10.414179,,,,0.1377607,validation,0,0.0
0.014355159,2.6825826,-0.44908994,1.8551071,-0.14992772,-0.79723567,-0.553783,1.5339891,1.1010207,1.9327993,-0.49804768,-1.331363,1.7281516,0.15783106,0.95653856,0.9831196,2.711714,0.051561944,-0.542326,1.2208472,2,nan,4.0,45,10.049953,96.36199,,,0.6445163,training,0,0.0
-0.74490076,0.09903247,1.7195235,0.5631462,0.13481422,-0.3716315,-3.5389633,-2.3723888,-2.9732723,0.1685561,-0.37257254,0.40377882,0.7826135,-1.3082385,-0.35346526,-0.024999356,-1.1391778,-0.5967552,0.017615492,-2.566176,3,nan,11.0,116,10.535896,99.43096,,,0.6386343,training,0,0.0
-0.6242591,-1.122991,-1.7480801,-1.2657222,1.1805712,1.0096995,-1.6847233,-2.6132247,-1.4279214,-2.0798695,1.012005,-0.44819522,0.008867348,0.26802912,1.012177,2.3075986,1.4435626,2.0053005,-0.973795,-1.4014604,3,nan,nan,99,10.6637945,2.0758154,,,0.0899019,training,0,0.0
0.6360881,0.98688936,0.39720196,-1.8163205,0.49212155,-1.0240433,0.45086038,5.324467,-1.9249004,0.35512927,-0.577552,-2.1531808,-1.4783449,3.368413,0.025859026,0.35698092,1.3285846,-1.986031,-1.6970327,1.5786287,2,nan,5.0,42,10.514889,16.43292,,,0.5322979,training,0,0.0
1.2701845,1.9897658,0.9918211,2.6049728,-0.22655056,-0.2500461,1.7780536,2.4151688,-0.29188466,0.24560873,-0.77506393,-0.21885805,1.1216844,0.12581336,0.9205252,1.7967538,0.14940709,0.24079137,-0.20543917,-1.1245515,1,nan,17.0,184,10.944594,88.47137,,,0.78738403,training,0,0.0
-0.71980345,1.5308641,1.8642906,-6.8020225,1.5734351,0.78021556,-3.5092645,-15.569749,5.514444,-3.2508783,5.008415,-2.3068314,0.2348404,-1.6811253,0.894006,-0.6207395,11.5077505,-1.5026987,-0.7163984,-3.253562,3,nan,1.0,22,10.5865555,11.666548,,,0.17489977,validation,1,12047.859230340337
0.56748396,-2.0848098,1.8292811,-0.96630484,-0.32349056,0.32547182,0.30577764,4.925076,-3.8912096,-2.9061434,-0.5852075,-0.8169443,0.48252514,1.2240162,-0.29592073,0.071399115,-3.2050798,0.99850625,0.08457241,1.8240008,2,nan,10.0,113,10.903402,45.46625,,,0.42761362,training,0,0.0
0.8224495,0.26912096,-0.6456459,0.57997125,0.29430467,-1.6752228,-2.3488765,-0.87713426,1.2847611,3.0253766,1.7167265,1.2149453,1.305489,2.6357677,0.67106193,-4.082247,-3.1822252,-1.4327887,1.426623,-0.6166131,3,nan,9.0,70,10.137475,83.13468,,,0.9440768,validation,1,10781.537651573368
1.1054558,-2.7948792,1.0055848,-0.94721234,-1.136858,0.9999819,-2.309948,-1.2813393,1.9893848,4.0796824,-2.2654428,1.3806449,-1.17435,3.5755374,0.641206,-1.2276601,1.3381989,-3.923917,0.1860367,-0.19756244,2,nan,5.0,28,10.1392765,69.42407,,,0.28851715,validation,0,0.0
-0.95537037,-1.1442578,-0.8368835,-2.9257877,0.48672742,-0.17667298,-0.8284313,-0.9323302,-4.609613,1.6723534,-2.2100492,-0.8810345,-0.22861566,-1.8480635,0.79865116,0.25662908,-2.4958053,-0.9165797,0.2783928,-2.0667,1,nan,11.0,119,10.807391,69.52563,,,0.14930671,training,0,0.0
0.45713472,-3.508963,-0.29473752,2.3691208,-1.0722541,-4.7175083,-2.3309224,-1.6434203,-0.6341366,-0.68002665,-1.3467871,-2.3011389,0.066565566,0.6242795,-0.31247017,2.2541995,-2.3766608,-1.0668849,-0.7657844,-2.5832422,2,nan,2.0,174,,57.86597,,,0.6288118,training,0,0.0
-0.5303825,-0.8821886,-1.4058843,-0.7211044,0.465806,-0.70156664,-2.8921802,2.2261064,0.62561977,-0.8211318,-1.2486472,-0.39098132,3.5718868,5.6907983,-0.31618446,-1.19809,2.0176263,0.12005814,1.3617743,-0.50813186,2,nan,nan,37,10.165354,8.383085,,,0.7680476,training,0,0.0
1.630726,-1.4461793,-0.44317225,-1.7066671,-0.29756954,-2.1029382,1.7574837,0.753756,-2.5140083,-2.851461,1.817806,-0.9678172,-0.069201924,1.0936579,-0.9328675,2.2436192,-2.1753576,0.6787027,-1.1072757,-2.0194888,3,nan,2.0,189,10.927508,26.773771,,,0.15121359,training,0,0.0
1.7992574,-0.75448966,1.6499414,-0.6668857,-0.042184185,1.0960189,0.5960136,5.014482,-3.5369275,0.55783015,2.3215868,-2.526596,0.8267816,2.328281,1.2285559,-1.0226363,-5.0422015,-0.5221779,-0.8477099,4.2461014,1,nan,18.0,167,10.347766,,,,0.32158923,validation,0,0.0
0.048983954,-4.0943213,-1.1092867,0.2570067,-0.7032695,1.726772,-1.9579719,0.2302171,-4.010804,-1.2931077,-2.0755835,1.5717884,-1.3742759,-0.1685652,-0.8147308,-1.3937111,-5.840003,0.13354132,-0.2553895,-1.3438648,1,nan,8.0,74,10.750813,87.40036,,,0.26846236,training,0,0.0
-1.1622311,0.5970717,0.11871078,0.6139151,0.4227286,-2.6455672,-0.63882196,5.9477286,-1.8129653,0.07425537,3.7345252,-5.319347,0.51995647,5.099122,-0.9556546,2.1624289,-0.7833285,-0.4685776,1.2702571,4.463114,3,nan,12.0,53,10.725998,49.922318,,,0.7439257,validation,0,0.0
-1.5219256,0.33124095,2.283234,-1.5692736,0.10035876,-1.4267402,-0.7120868,0.3775164,3.2394521,-4.359838,0.9881312,-0.25101733,-1.8108344,4.535981,-0.12732232,3.243722,9.971854,-2.3727252,-0.0043351366,-0.44326288,3,nan,3.0,200,10.8833065,,,,0.67903286,training,1,7746.11632472404
-0.05112493,1.2699395,1.0237166,7.750964,0.26834407,-0.13582136,-3.3466558,-1.667334,3.0911682,0.7901446,-4.0430837,1.8952404,0.08841023,-1.019508,-1.1771727,1.5649644,2.5488234,2.041908,0.15040246,-3.000343,2,nan,20.0,88,10.6236725,62.708263,,,0.7940478,training,0,0.0
